"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-455-3p",2.31590729899088,3.08913832754753,3.07670087858642,0.00231498425228014,0.0165016826188174,-2.47758886122521
"ebv-miR-BART1-5p",2.09530820683737,1.95987003377186,3.00761812528795,0.00288920485652859,0.0199373515323488,-2.67998266378301
"hsa-miR-663b",1.59343316256097,1.49043558171103,3.00737750643149,0.00289141556099053,0.0199373515323488,-2.68068012591757
"hsa-miR-135b",2.85278078107793,5.24132702280608,3.00595223563067,0.00290454221964075,0.0199373515323488,-2.68481037410691
"ebv-miR-BART18-3p",1.84367690084144,1.72450386922814,2.98802041239027,0.00307443288525875,0.0206887332476538,-2.73661834676223
"ebv-miR-BART12",2.1730136076951,2.03255265206464,2.98658426628308,0.00308842600639436,0.0206887332476538,-2.74075509278071
"hsa-miR-192",2.74579274860305,4.97732323492776,2.97428767301481,0.0032106507734627,0.0212514503576817,-2.77609877179265
"hsa-miR-19a",2.37364212653943,3.52286876097338,2.96514793911266,0.00330435208647951,0.0215943704453929,-2.80228053501421
"hsa-miR-1275",1.61319118612602,1.754763461673,2.96057937767795,0.0033521224569828,0.0215943704453929,-2.81533944684563
"hsa-miR-181b+hsa-miR-181d",1.67534452817096,3.53971556842966,2.95803740343042,0.00337897523156328,0.0215943704453929,-2.82259735118007
"hsa-miR-485-3p",-2.42041379058538,2.13978328184791,-2.92930184898297,0.0036965311264107,0.0233553557532313,-2.90423816797703
"hsa-miR-454",1.99981937988353,2.84654954211407,2.91659318193167,0.00384549093536676,0.0240235164052126,-2.94010693514197
"hsa-miR-340",2.20148588357434,3.76882712226236,2.89926884811143,0.00405739004343843,0.0250656540461308,-2.98876754962553
"hsa-miR-30e",1.16011873445647,8.62816794260076,2.8860505634467,0.0042261772083598,0.0258214783280005,-3.02571229778358
"hsa-miR-425",1.77574324447536,4.67835297463498,2.86431015641884,0.00451776446888535,0.0273030113554375,-3.08613164485346
"hsa-miR-27a",1.59058047531586,7.81244591411027,2.84707949349661,0.0047617598839761,0.0284681558654915,-3.13371311485553
"hsa-miR-29b",2.12943811974101,5.43474256722053,2.83645590975023,0.00491811220202349,0.0290901104715432,-3.1629150909613
"hsa-miR-301a",1.36651090530559,3.89447875441445,2.81736273944157,0.00521090117101229,0.0304974847482404,-3.21514014085656
"hsa-miR-20a+hsa-miR-20b",2.43328652794857,9.56489266014068,2.81261481442157,0.00528612697494364,0.0306154853965486,-3.22807550168221
"hsa-miR-455-5p",1.85737850730915,2.00378593664259,2.78981173179737,0.00566134734433016,0.0321194808515058,-3.28991457053812
"hsa-miR-211",1.63765477447968,1.53179876244106,2.76915067589963,0.00602201438524433,0.0338206060423823,-3.34553522573034
"hsa-miR-222",1.10398778855714,8.96527156627757,2.75042722517835,0.00636670603595992,0.0353988855599372,-3.39560302971522
"hsa-miR-1253",1.74393221756099,1.73399722691255,2.73636347006924,0.006637251989366,0.0365377436246287,-3.43299969676012
"hsa-miR-452",1.57752213759899,1.68714901574905,2.70525661526522,0.00727292833580398,0.0392724625416374,-3.51507217050848
"hsa-miR-18a",1.74994921861859,3.29872906369582,2.70514549776739,0.00727529431976376,0.0392724625416374,-3.5153637541075
"kshv-miR-K12-6-3p",1.72212887289931,3.28246136339164,2.68365186819985,0.00774622745161438,0.0409267169356133,-3.57155223047759
"hcmv-miR-UL112",1.6041862931669,4.02594938515589,2.68175924023163,0.00778898395289763,0.0409267169356133,-3.5764796122839
"hsa-miR-362-3p",1.43534748420419,1.52011046972624,2.68115956626387,0.0078025755308903,0.0409267169356133,-3.57804015347768
"hsa-miR-1297",-1.86133096164202,3.01596191209886,-2.67592636212861,0.0079220958492543,0.0411652831045363,-3.59164458799162
"hsv1-miR-H4-5p",1.56288744022239,1.78785215811027,2.65950466035569,0.00830793001868992,0.0422853619743016,-3.63417169520047
"hsa-miR-203",-2.21113484385725,4.8913236023308,-2.65710070235712,0.00836580902369276,0.0422853619743016,-3.6403763989935
"ebv-miR-BART19-5p",2.0615095381382,1.92825606989354,2.62280733118749,0.00923190013796398,0.0462426709613331,-3.72830980066899
"hsa-miR-181c",1.57777902178668,1.87421992260837,2.5943594950971,0.0100105326932521,0.0496951444415017,-3.8004320459445
